itemId,title,details
572,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood
883,The Blind Assassin,Margaret Atwood
11,The Kite Runner,Khaled Hosseini
516,The Amazing Adventures of Kavalier & Clay,Michael Chabon
570,High Fidelity,Nick Hornby
895,The Year of Magical Thinking,Joan Didion
1530,"A Swiftly Tilting Planet (A Wrinkle in Time Quintet, #3)",Madeleine L'Engle
1196,"A Wind in the Door (A Wrinkle in Time Quintet, #2)",Madeleine L'Engle
378,The Namesake,Jhumpa Lahiri
317,I Know Why the Caged Bird Sings,Maya Angelou
8,The Catcher in the Rye,J.D. Salinger
416,The Witches,"Roald Dahl, Quentin Blake"
354,Beloved,Toni Morrison
335,James and the Giant Peach,"Roald Dahl, Quentin Blake"
621,"Are You There God? It's Me, Margaret",Judy Blume
65,Slaughterhouse-Five,Kurt Vonnegut Jr.
129,One Flew Over the Cuckoo's Nest,Ken Kesey
395,For Whom the Bell Tolls,Ernest Hemingway
595,A Separate Peace,John Knowles
468,Their Eyes Were Watching God,Zora Neale Hurston
304,I Know This Much Is True,Wally Lamb
306,She's Come Undone,Wally Lamb
5,The Great Gatsby,F. Scott Fitzgerald
1005,White Teeth,Zadie Smith
867,The History of Love,Nicole Krauss
193,Outliers: The Story of Success,Malcolm Gladwell
87,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel"
256,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,"Greg Mortenson, David Oliver Relin"
916,Reading Lolita in Tehran,Azar Nafisi
238,Running with Scissors,Augusten Burroughs
574,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain
495,A Heartbreaking Work of Staggering Genius,Dave Eggers
1655,"The Friday Night Knitting Club (Friday Night Knitting Club, #1)",Kate Jacobs
235,The Husband's Secret,Liane Moriarty
285,"The Rosie Project (Don Tillman, #1)",Graeme Simsion
6,The Fault in Our Stars,John Green
91,"The Maze Runner (Maze Runner, #1)",James Dashner
124,Room,Emma Donoghue
190,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed
164,Eleanor & Park,Rainbow Rowell
689,Beautiful Ruins,Jess Walter
1009,The Interestings,Meg Wolitzer
88,Paper Towns,John Green
26,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown
58,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell"
381,Where the Heart Is,Billie Letts
436,The God of Small Things,Arundhati Roy
38,The Time Traveler's Wife,Audrey Niffenegger
763,The Bluest Eye,Toni Morrison
53,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini
236,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer
64,My Sister's Keeper,Jodi Picoult
118,The Joy Luck Club,Amy Tan
43,Jane Eyre,"Charlotte Brontë, Michael Mason"
344,Naked,David Sedaris
410,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe
688,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon
662,Interpreter of Maladies,Jhumpa Lahiri
36,"The Giver (The Giver, #1)",Lois Lowry
59,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells"
15,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday"
682,Jonathan Strange & Mr Norrell,Susanna Clarke
148,Girl with a Pearl Earring,Tracy Chevalier
42,"Little Women (Little Women, #1)",Louisa May Alcott
63,Wuthering Heights,"Emily Brontë, Richard J. Dunn"
401,A Farewell to Arms,Ernest Hemingway
301,Heart of Darkness,Joseph Conrad
1566,Ethan Frome,Edith Wharton
7,The Hobbit,J.R.R. Tolkien
718,The Sound and the Fury,William Faulkner
1714,The Kitchen God's Wife,Amy Tan
1487,Wild Swans: Three Daughters of China,Jung Chang
82,Into the Wild,Jon Krakauer
925,Daughter of Fortune,"Isabel Allende, Margaret Sayers Peden"
179,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt
345,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini
81,The Glass Castle,Jeannette Walls
737,A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah
57,The Secret Life of Bees,Sue Monk Kidd
1515,Infidel,Ayaan Hirsi Ali
258,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","Carlos Ruiz Zafón, Lucia Graves"
50,Where the Sidewalk Ends,Shel Silverstein
71,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle"
379,"A Discovery of Witches (All Souls Trilogy, #1)",Deborah Harkness
29,Romeo and Juliet,"William Shakespeare, Robert           Jackson"
116,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye"
227,The Client,John Grisham
1073,Vanity Fair,"William Makepeace Thackeray, John Carey"
1477,Bleak House,"Charles Dickens, Nicola Bradbury, Hablot Knight Browne"
160,Great Expectations,Charles Dickens
83,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne"
293,Treasure Island,Robert Louis Stevenson
131,The Grapes of Wrath,John Steinbeck
276,Foundation (Foundation #1),Isaac Asimov
212,Atonement,Ian McEwan
708,Eleven Minutes,"Paulo Coelho, Margaret Jull Costa"
225,East of Eden,John Steinbeck
123,"The Firm (Penguin Readers, Level 5)",John Grisham
727,The Reader,"Bernhard Schlink, Carol Brown Janeway"
521,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)",Michael Connelly
113,Catch-22,Joseph Heller
173,A Clockwork Orange,Anthony Burgess
274,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart"
270,Rebecca,"Daphne du Maurier, Sally Beauman"
478,Robinson Crusoe,"Daniel Defoe, Gerald McCann, Virginia Woolf"
361,Oliver Twist,"Charles Dickens, George Cruikshank, Philip Horne"
919,The Shipping News,Annie Proulx
664,Breakfast at Tiffany's,Truman Capote
658,The Corrections,Jonathan Franzen
1184,Tender Is the Night,F. Scott Fitzgerald
1312,White Noise,Don DeLillo
654,Freedom,Jonathan Franzen
380,Norwegian Wood,"Haruki Murakami, Jay Rubin"
201,"The Lost Symbol (Robert Langdon, #3)",Dan Brown
194,"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk"
649,1Q84,"Haruki Murakami, Jay Rubin, Philip Gabriel"
779,A Fine Balance,Rohinton Mistry
896,We Need to Talk About Kevin,Lionel Shriver
974,The Man in the High Castle,Philip K. Dick
240,"Inferno (Robert Langdon, #4)",Dan Brown
338,One Day,David Nicholls
189,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien
219,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","C.S. Lewis, Pauline Baynes"
575,Timeline,Michael Crichton
1296,State of Fear,Michael Crichton
660,Congo,Michael Crichton
1592,Airframe,Michael Crichton
1677,Next,Michael Crichton
170,Digital Fortress,Dan Brown
1269,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard   Preston
1314,The Origin of Species,Charles Darwin
328,Nineteen Minutes,Jodi Picoult
453,Cold Mountain,Charles Frazier
1719,Phantoms,Dean Koontz
1709,"Forever Odd (Odd Thomas, #2)",Dean Koontz
611,The Silmarillion (Middle-Earth Universe),"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith"
731,The Exorcist,William Peter Blatty
650,Uncle Tom's Cabin,Harriet Beecher Stowe
390,The Strange Case of Dr. Jekyll and Mr. Hyde,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon"
178,The Bell Jar,Sylvia Plath
221,"A Child Called ""It"" (Dave Pelzer #1)",Dave Pelzer
693,Sphere,Michael Crichton
1083,Lucky,Alice Sebold
22,The Lovely Bones,Alice Sebold
114,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys"
784,For One More Day,Mitch Albom
402,The Tell-Tale Heart and Other Writings,Edgar Allan Poe
1096,America (The Book): A Citizen's Guide to Democracy Inaction,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms"
1035,Einstein: His Life and Universe,Walter Isaacson
356,"The Bad Beginning (A Series of Unfortunate Events, #1)","Lemony Snicket, Brett Helquist"
873,"The Reptile Room (A Series of Unfortunate Events, #2)","Lemony Snicket, Brett Helquist"
1977,"The End (A Series of Unfortunate Events, #13)","Lemony Snicket, Brett Helquist"
1225,"The Austere Academy (A Series of Unfortunate Events, #5)","Lemony Snicket, Brett Helquist"
1163,"The Miserable Mill (A Series of Unfortunate Events, #4)","Lemony Snicket, Brett Helquist"
1289,"The Ersatz Elevator (A Series of Unfortunate Events, #6)","Lemony Snicket, Brett Helquist"
1233,"The Vile Village (A Series of Unfortunate Events, #7)","Lemony Snicket, Brett Helquist"
1827,"The Hostile Hospital (A Series of Unfortunate Events, #8)","Lemony Snicket, Brett Helquist"
1033,"The Wide Window (A Series of Unfortunate Events, #3)","Lemony Snicket, Brett Helquist"
1549,"The Carnivorous Carnival (A Series of Unfortunate Events, #9)","Lemony Snicket, Brett Helquist"
1476,"The Slippery Slope (A Series of Unfortunate Events, #10)","Lemony Snicket, Brett Helquist"
1774,"The Grim Grotto (A Series of Unfortunate Events, #11)","Lemony Snicket, Brett Helquist"
1975,"The Penultimate Peril (A Series of Unfortunate Events, #12)","Lemony Snicket, Brett Helquist"
255,Atlas Shrugged,"Ayn Rand, Leonard Peikoff"
426,A Confederacy of Dunces,"John Kennedy Toole, Walker Percy"
758,Stiff: The Curious Lives of Human Cadavers,Mary Roach
205,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice
1916,"The Mouse and the Motorcycle (Ralph S. Mouse, #1)","Beverly Cleary, Louis Darling, Tracy Dockray"
1825,"Ramona Quimby, Age 8 (Ramona, #6)",Beverly Cleary
561,The Phantom Tollbooth,"Norton Juster, Jules Feiffer"
474,The God Delusion,Richard Dawkins
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares
1138,Tell No One,Harlan Coben
331,The Pact,Jodi Picoult
481,"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind
1071,"Stone of Tears (Sword of Truth, #2)",Terry Goodkind
1536,"Blood of the Fold (Sword of Truth, #3)",Terry Goodkind
508,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich
1785,The Yellow Wallpaper and Other Stories,Charlotte Perkins Gilman
627,The True Story of the 3 Little Pigs,"Jon Scieszka, Lane Smith"
1664,A Room of One's Own,Virginia Woolf
701,Mrs. Dalloway,"Virginia Woolf, Maureen Howard"
877,The Neverending Story,"Michael Ende, Ralph Manheim, Roswitha Quadflieg"
1402,The Stinky Cheese Man and Other Fairly Stupid Tales,"Jon Scieszka, Lane Smith"
793,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg
296,The Very Hungry Caterpillar Board Book,Eric Carle
158,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake"
559,Tess of the D'Urbervilles,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet"
736,Invisible Man,Ralph Ellison
2315,The Trumpet of the Swan,"E.B. White, Fred Marcellino"
249,Extremely Loud and Incredibly Close,Jonathan Safran Foer
405,Breakfast of Champions,Kurt Vonnegut Jr.
587,Everything Is Illuminated,Jonathan Safran Foer
297,Cat's Cradle,Kurt Vonnegut Jr.
782,The Awakening,Kate Chopin
1074,The Sirens of Titan,Kurt Vonnegut Jr.
943,Holidays on Ice,David Sedaris
1265,"Maus II: A Survivor's Tale: And Here My Troubles Began (Maus, #2)",Art Spiegelman
407,Bel Canto,Ann Patchett
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams
599,"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)",Douglas Adams
751,"Life, the Universe and Everything (Hitchhiker's Guide, #3)",Douglas Adams
494,The Secret History,Donna Tartt
1405,"The Year of the Flood  (MaddAddam, #2)",Margaret Atwood
651,The Phantom of the Opera,"Gaston Leroux, Alexander Teixeira de Mattos"
878,A Beautiful Mind,Sylvia Nasar
1178,The Prince and the Pauper,"Mark Twain, Everett H. Emerson"
456,A Streetcar Named Desire,Tennessee Williams
303,"The Secret (The Secret, #1)",Rhonda Byrne
580,The Story of Art,E.H. Gombrich
522,Cloud Atlas,David Mitchell
1055,Midnight's Children,Salman Rushdie
1315,Blankets,Craig Thompson
1783,The Portrait of a Lady,"Henry James, Patricia Crick"
1084,To the Lighthouse,Virginia Woolf
400,Neuromancer,William Gibson
820,The Remains of the Day,Kazuo Ishiguro
1796,"Gilead (Gilead, #1)",Marilynne Robinson
1672,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, A Man Who Would Cure the World",Tracy Kidder
171,Emma,"Jane Austen, Fiona Stafford"
230,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch"
471,Mansfield Park,"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont"
451,Northanger Abbey,"Jane Austen, Alfred MacAdam"
937,His Dark Materials (His Dark Materials #1-3),Philip Pullman
398,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser
150,The Red Tent,Anita Diamant
291,Cutting for Stone,Abraham Verghese
1145,We Were the Mulvaneys,Joyce Carol Oates
104,The Road,Cormac McCarthy
